,year,month,day,humidity,sha_tin_min,sha_tin_max,happy_velley_min,happy_velley_max
171,2008,06,20,63-90,25.0,31.6,26.5,31.3
172,2008,06,21,62-92,24.5,32.4,25.2,32.3
173,2008,06,22,56-89,24.3,33.5,24.9,34.5
174,2008,06,23,51-89,25.2,34.1,25.3,32.9
175,2008,06,24,68-88,26.7,32.1,27.1,31.0
176,2008,06,25,85-100,24.1,28.3,24.2,27.3
177,2008,06,26,82-98,24.3,27.7,23.5,27.4
178,2008,06,27,81-99,24.1,27.9,23.5,27.1
179,2008,06,28,84-98,23.9,28.2,23.8,27.9
180,2008,06,29,80-99,23.9,28.5,23.7,28.1
181,2008,06,30,82-99,23.9,29.1,23.6,27.9
182,2008,07,01,67-94,25.8,31.5,26.1,31.2
183,2008,07,02,64-87,26.0,32.1,26.2,31.7
184,2008,07,03,64-87,25.6,32.8,26.3,31.6
185,2008,07,04,70-89,25.8,32.1,25.8,32.2
186,2008,07,05,73-98,25.4,31.9,25.3,32.7
187,2008,07,06,85-99,23.4,30.0,23.4,30.5
188,2008,07,07,87-100,24.7,26.9,24.1,26.6
189,2008,07,08,82-99,23.8,28.9,23.4,28.4
190,2008,07,09,93-100,24.0,27.5,24.2,27.9
191,2008,07,10,85-100,23.3,28.0,23.3,27.8
192,2008,07,11,82-97,24.3,28.8,24.1,28.0
193,2008,07,12,78-100,23.7,27.1,22.2,26.9
194,2008,07,13,82-100,24.5,29.4,24.1,28.6
195,2008,07,14,72-98,24.3,31.6,24.3,31.7
196,2008,07,15,70-99,24.6,31.1,24.2,30.9
197,2008,07,16,75-94,25.8,31.1,25.7,32.1
198,2008,07,17,67-89,25.2,32.4,25.6,32.2
199,2008,07,18,70-88,27.0,31.9,27.7,31.4
200,2008,07,19,68-88,27.9,31.2,27.1,30.5
201,2008,07,20,65-85,27.3,32.4,27.7,32.6
202,2008,07,21,62-86,27.1,32.7,27.3,32.6
203,2008,07,22,66-81,27.2,32.3,27.7,31.3
204,2008,07,23,65-82,28.0,32.5,27.8,32.4
205,2008,07,24,59-86,26.6,33.1,27.2,32.3
206,2008,07,25,61-85,24.9,33.6,26.1,32.6
207,2008,07,26,59-84,26.7,34.6,26.9,33.9
208,2008,07,27,58-83,25.4,35.2,27.5,34.3
209,2008,07,28,56-82,25.8,36.6,27.8,35.5
210,2008,07,29,67-86,27.7,32.7,28.4,31.4
211,2008,07,30,76-87,27.5,29.9,28.0,29.6
212,2008,07,31,73-86,26.4,31.7,26.2,31.0
213,2008,08,01,77-90,25.6,30.6,26.0,30.3
214,2008,08,02,64-87,26.3,32.0,26.4,32.6
215,2008,08,03,56-85,25.5,33.0,26.1,33.5
216,2008,08,04,62-86,26.6,35.0,26.7,33.1
217,2008,08,05,72-91,26.2,29.6,24.7,29.3
218,2008,08,06,86-96,25.4,27.8,24.5,26.8
219,2008,08,07,86-97,24.2,28.9,23.1,29.2
220,2008,08,08,90-98,24.6,27.3,24.3,26.7
221,2008,08,09,67-93,24.7,31.6,24.5,32.7
222,2008,08,10,70-89,24.3,30.9,24.5,30.5
223,2008,08,11,81-96,24.4,27.6,23.4,26.9
224,2008,08,12,73-96,24.2,31.5,23.8,30.5
225,2008,08,13,55-89,25.4,32.3,26.1,32.1
226,2008,08,14,65-87,26.0,32.8,26.8,31.5
227,2008,08,15,65-85,26.9,31.6,27.2,31.3
228,2008,08,16,66-84,27.2,32.1,27.3,31.9
229,2008,08,17,63-83,27.1,32.9,27.7,32.0
230,2008,08,18,62-85,26.7,32.2,27.0,33.2
231,2008,08,19,64-88,27.1,32.4,26.8,32.9
232,2008,08,20,57-86,25.8,35.1,26.1,33.5
233,2008,08,21,58-84,28.2,34.7,28.0,34.3
234,2008,08,22,60-96,22.1,30.8,22.9,30.6
235,2008,08,23,64-90,22.4,27.9,22.6,27.8
236,2008,08,24,71-90,25.5,31.1,25.1,31.2
237,2008,08,25,68-87,26.2,31.2,26.4,31.3
238,2008,08,26,64-88,25.3,32.0,25.4,32.2
239,2008,08,27,54-88,25.2,33.3,25.4,32.8
240,2008,08,28,64-86,25.0,32.3,25.5,32.6
241,2008,08,29,65-86,25.2,32.7,26.0,32.6
242,2008,08,30,63-82,26.4,33.3,26.6,33.4
243,2008,08,31,57-85,26.8,32.6,27.5,32.4
244,2008,09,01,65-86,27.4,33.0,0.0,0.0
245,2008,09,02,73-94,24.5,30.4,24.6,30.8
246,2008,09,03,63-94,24.2,32.0,24.5,32.0
247,2008,09,04,69-84,25.8,31.5,25.6,29.8
248,2008,09,05,73-94,24.7,29.6,25.6,30.6
249,2008,09,06,69-94,24.9,30.9,24.4,29.0
250,2008,09,07,64-92,24.2,32.1,24.8,33.1
251,2008,09,08,63-86,25.3,31.4,24.2,31.7
252,2008,09,09,57-87,26.4,32.3,26.1,33.0
253,2008,09,10,50-82,25.6,33.9,26.3,33.3
254,2008,09,11,65-82,25.8,33.7,25.9,32.8
255,2008,09,12,56-75,26.4,34.3,27.0,33.5
256,2008,09,13,50-66,26.3,33.9,27.2,35.3
257,2008,09,14,56-66,27.3,34.6,0.0,0.0
258,2008,09,15,56-63,27.4,34.5,0.0,0.0
259,2008,09,16,55-73,26.4,34.2,0.0,0.0
260,2008,09,17,64-84,27.9,34.2,0.0,0.0
261,2008,09,18,70-89,27.4,32.7,0.0,0.0
262,2008,09,19,81-95,25.2,30.4,0.0,0.0
263,2008,09,20,70-87,26.2,32.5,0.0,0.0
264,2008,09,21,61-85,25.7,34.0,0.0,0.0
265,2008,09,22,56-87,26.9,36.5,31.0,34.6
266,2008,09,23,55-95,25.5,32.8,25.2,32.5
267,2008,09,24,83-94,24.2,28.9,0.0,0.0
268,2008,09,25,74-91,25.9,30.1,0.0,0.0
269,2008,09,26,67-89,25.2,32.6,25.0,32.8
270,2008,09,27,64-80,26.0,30.5,0.0,0.0
271,2008,09,28,54-93,25.2,31.2,0.0,0.0
272,2008,09,29,54-69,24.7,31.2,0.0,0.0
273,2008,09,30,53-69,24.8,31.1,0.0,0.0
274,2008,10,01,63-81,24.1,29.7,0.0,0.0
275,2008,10,02,69-94,25.1,28.8,26.5,29.6
276,2008,10,03,72-94,25.4,28.3,24.7,28.0
277,2008,10,04,71-96,25.1,30.3,24.5,31.3
278,2008,10,05,79-95,23.2,27.8,0.0,0.0
279,2008,10,06,65-87,22.5,25.8,0.0,0.0
280,2008,10,07,72-82,21.8,24.3,0.0,0.0
281,2008,10,08,71-89,23.5,27.8,0.0,0.0
282,2008,10,09,65-84,24.9,29.8,24.2,28.9
283,2008,10,10,61-81,25.1,30.9,25.0,31.5
284,2008,10,11,58-84,24.7,29.9,25.2,28.3
285,2008,10,12,71-79,25.3,27.3,24.2,26.3
286,2008,10,13,71-81,23.9,26.7,24.2,25.6
287,2008,10,14,64-80,23.1,29.4,23.4,29.1
288,2008,10,15,59-80,24.0,29.3,24.4,29.4
289,2008,10,16,62-85,23.2,30.8,23.6,30.7
290,2008,10,17,68-87,24.5,28.4,24.6,28.1
291,2008,10,18,65-85,25.3,28.8,25.3,29.6
292,2008,10,19,60-94,24.6,29.9,24.6,30.1
293,2008,10,20,60-81,24.8,29.7,24.8,29.5
294,2008,10,21,65-84,23.5,28.8,23.6,29.2
295,2008,10,22,64-86,23.1,29.8,23.1,30.4
296,2008,10,23,60-88,22.6,31.4,22.8,31.0
297,2008,10,24,67-80,25.4,29.6,0.0,0.0
298,2008,10,25,66-84,24.7,28.0,0.0,0.0
299,2008,10,26,68-85,23.8,31.5,0.0,0.0
300,2008,10,27,66-83,23.4,28.7,0.0,0.0
301,2008,10,28,66-82,22.9,28.6,0.0,0.0
302,2008,10,29,69-82,24.2,29.3,0.0,0.0
303,2008,10,30,68-86,24.7,29.9,0.0,0.0
304,2008,10,31,74-85,24.8,29.4,24.6,29.1
305,2008,11,01,76-87,25.0,27.3,24.4,26.4
306,2008,11,02,83-94,25.2,27.2,24.2,26.3
307,2008,11,03,74-96,21.8,26.4,0.0,0.0
308,2008,11,04,74-86,22.6,27.4,0.0,0.0
309,2008,11,05,81-90,24.7,26.7,0.0,0.0
310,2008,11,06,78-87,24.8,28.7,0.0,0.0
311,2008,11,07,74-88,24.7,29.7,0.0,0.0
312,2008,11,08,62-85,20.2,27.1,20.5,27.8
313,2008,11,09,60-70,19.0,22.1,18.4,24.8
314,2008,11,10,40-64,16.3,23.0,16.6,24.2
315,2008,11,11,35-56,15.1,23.4,0.0,0.0
316,2008,11,12,40-57,12.9,23.6,15.4,24.7
317,2008,11,13,53-78,16.2,26.3,18.7,27.1
318,2008,11,14,58-82,20.8,27.4,0.0,0.0
319,2008,11,15,62-85,20.5,28.1,0.0,0.0
320,2008,11,16,52-85,18.9,28.8,0.0,0.0
321,2008,11,17,64-82,20.7,26.0,0.0,0.0
322,2008,11,18,60-81,18.2,23.0,0.0,0.0
323,2008,11,19,46-68,16.5,21.5,16.8,22.3
324,2008,11,20,49-66,14.4,20.3,0.0,0.0
325,2008,11,21,45-73,14.4,23.8,16.0,25.1
326,2008,11,22,61-78,19.3,23.8,19.0,22.4
327,2008,11,23,66-83,20.2,27.4,19.7,25.9
328,2008,11,24,47-78,19.6,26.8,0.0,0.0
329,2008,11,25,49-74,18.3,24.6,0.0,0.0
330,2008,11,26,52-76,18.2,25.1,0.0,0.0
331,2008,11,27,28-57,15.5,22.4,15.8,23.6
332,2008,11,28,28-43,9.2,18.5,0.0,0.0
333,2008,11,29,23-44,7.9,21.2,0.0,0.0
334,2008,11,30,36-66,11.1,21.3,0.0,0.0
335,2008,12,01,50-77,10.4,23.2,12.1,24.0
336,2008,12,02,36-76,10.6,24.1,11.4,23.6
337,2008,12,03,60-78,15.0,22.3,16.9,21.8
338,2008,12,04,52-74,19.9,25.9,20.2,24.7
339,2008,12,05,39-59,15.6,20.1,16.1,21.2
340,2008,12,06,32-54,10.8,17.7,13.1,18.7
341,2008,12,07,47-72,10.2,17.5,12.1,17.1
342,2008,12,08,33-65,13.0,21.9,14.8,22.8
343,2008,12,09,34-75,9.2,23.0,0.0,0.0
344,2008,12,10,34-78,10.8,24.4,13.7,24.2
345,2008,12,11,37-72,11.6,25.5,12.5,25.2
346,2008,12,12,69-84,17.8,21.0,18.4,20.5
347,2008,12,13,54-84,17.6,24.7,0.0,0.0
348,2008,12,14,44-69,15.8,21.4,16.1,22.1
349,2008,12,15,57-72,12.9,19.5,12.8,18.8
350,2008,12,16,51-78,11.8,20.9,0.0,0.0
351,2008,12,17,46-84,11.1,23.4,13.2,23.5
352,2008,12,18,43-79,10.9,24.2,11.4,23.2
353,2008,12,19,50-82,15.5,24.9,16.5,24.3
354,2008,12,20,48-87,13.6,26.6,15.1,25.6
355,2008,12,21,46-82,15.3,26.2,17.2,24.7
356,2008,12,22,48-64,11.8,19.1,12.7,19.0
357,2008,12,23,56-66,9.6,17.5,11.2,17.6
358,2008,12,24,49-69,14.7,22.0,15.1,22.2
359,2008,12,25,57-83,15.4,23.7,14.3,24.4
360,2008,12,26,59-79,17.1,21.9,16.4,20.3
361,2008,12,27,64-80,17.9,21.8,17.2,21.0
362,2008,12,28,75-88,18.5,21.3,17.4,20.2
363,2008,12,29,64-87,17.5,23.3,17.6,24.4
364,2008,12,30,73-95,15.1,17.8,15.6,18.6
365,2008,12,31,60-91,12.2,16.9,12.5,16.6
366,2009,01,01,39-69,10.8,19.0,11.2,19.5
367,2009,01,02,44-70,10.6,18.2,9.8,17.4
368,2009,01,03,52-75,12.4,18.8,12.4,18.2
369,2009,01,04,48-82,14.4,22.0,14.3,20.6
370,2009,01,05,64-83,13.2,21.7,14.9,20.0
371,2009,01,06,66-86,15.6,21.9,15.3,20.7
372,2009,01,07,52-88,14.2,21.0,13.3,21.2
373,2009,01,08,49-71,11.7,20.0,12.4,20.3
374,2009,01,09,31-62,9.9,16.8,9.4,16.6
375,2009,01,10,23-39,10.0,16.7,9.5,17.7
376,2009,01,11,39-57,4.5,17.8,6.8,17.1
377,2009,01,12,24-75,6.9,18.9,8.9,18.6
378,2009,01,13,26-46,9.4,16.5,9.5,17.6
379,2009,01,14,30-67,6.6,17.4,7.6,16.4
380,2009,01,15,39-77,6.6,17.4,9.5,16.8
381,2009,01,16,47-80,8.0,19.3,9.7,18.2
382,2009,01,17,36-85,9.9,21.3,11.5,20.6
383,2009,01,18,54-87,11.1,25.5,14.6,26.3
384,2009,01,19,48-85,16.2,23.5,16.3,22.1
385,2009,01,20,64-84,15.3,21.1,15.3,20.3
386,2009,01,21,60-82,15.8,25.9,17.0,24.8
387,2009,01,22,59-87,15.8,24.5,14.6,23.3
388,2009,01,23,55-90,12.3,18.9,13.9,19.3
389,2009,01,24,40-61,9.1,12.7,10.4,13.9
390,2009,01,25,46-73,9.5,14.7,10.8,15.4
391,2009,01,26,58-71,11.1,16.6,12.4,16.2
392,2009,01,27,65-83,9.5,11.6,11.0,13.0
393,2009,01,28,75-87,11.1,17.7,12.3,18.6
394,2009,01,29,70-88,15.2,22.8,14.7,20.8
395,2009,01,30,62-86,14.0,22.2,13.1,21.3
396,2009,01,31,52-79,12.8,21.4,12.8,20.5
397,2009,02,01,61-81,15.4,20.7,15.7,19.8
398,2009,02,02,61-79,14.0,23.1,15.3,22.3
399,2009,02,03,55-90,12.3,26.3,12.9,24.7
400,2009,02,04,68-89,15.2,21.8,15.1,20.5
401,2009,02,05,65-89,14.3,24.8,15.0,23.5
402,2009,02,06,68-84,17.8,23.2,17.6,22.0
403,2009,02,07,61-86,15.9,24.3,15.8,23.7
404,2009,02,08,55-82,17.9,24.9,18.0,23.5
405,2009,02,09,55-88,17.2,26.4,17.0,25.9
406,2009,02,10,70-91,15.1,22.8,14.8,22.9
407,2009,02,11,50-88,15.2,27.2,15.0,26.2
408,2009,02,12,69-90,16.6,25.5,16.4,24.0
409,2009,02,13,78-86,21.8,24.6,21.7,23.6
410,2009,02,14,82-93,21.9,27.2,22.4,25.6
411,2009,02,15,87-96,20.5,25.1,20.2,24.9
412,2009,02,16,88-96,17.5,21.0,17.2,20.4
413,2009,02,17,69-91,17.3,19.2,16.3,19.8
414,2009,02,18,61-92,17.3,23.1,16.8,22.1
415,2009,02,19,76-93,17.4,23.7,17.2,23.0
416,2009,02,20,54-92,17.1,24.3,16.5,25.6
417,2009,02,21,71-90,17.0,20.1,16.5,20.2
418,2009,02,22,80-93,18.2,24.9,17.7,24.2
419,2009,02,23,75-95,20.9,26.7,21.0,27.2
420,2009,02,24,74-95,21.4,27.0,21.5,27.3
421,2009,02,25,65-94,21.1,28.1,21.0,28.8
422,2009,02,26,86-95,19.5,23.0,19.1,22.8
423,2009,02,27,69-94,19.4,26.1,19.0,25.5
424,2009,02,28,78-91,19.2,21.4,18.7,21.4
425,2009,03,01,77-95,17.1,19.3,17.6,19.6
426,2009,03,02,73-88,16.6,19.7,16.7,20.0
427,2009,03,03,74-83,16.6,19.5,16.5,19.2
428,2009,03,04,80-95,17.5,19.4,17.2,19.0
429,2009,03,05,90-97,18.5,21.4,18.1,24.3
430,2009,03,06,81-96,13.1,19.5,13.8,19.8
431,2009,03,07,79-93,12.1,14.6,13.3,15.6
432,2009,03,08,82-92,13.7,15.9,14.0,15.9
433,2009,03,09,58-92,14.2,18.6,15.1,19.3
434,2009,03,10,63-84,16.9,18.7,16.5,18.6
435,2009,03,11,77-92,17.4,20.3,17.0,20.7
436,2009,03,12,78-90,18.1,22.1,17.7,21.9
437,2009,03,13,60-96,13.3,25.4,13.6,25.9
438,2009,03,14,38-69,11.8,19.9,12.6,20.2
439,2009,03,15,53-77,11.5,22.4,13.0,22.4
440,2009,03,16,56-84,15.6,24.9,16.7,25.0
441,2009,03,17,63-88,15.8,26.8,15.8,25.4
442,2009,03,18,70-93,17.7,27.1,17.5,26.1
443,2009,03,19,73-96,18.8,27.5,18.4,27.7
444,2009,03,20,65-95,20.5,27.8,20.0,28.4
445,2009,03,21,86-94,21.1,23.6,21.4,24.9
446,2009,03,22,76-91,22.1,27.1,23.9,26.9
447,2009,03,23,83-95,21.2,27.5,21.9,28.4
448,2009,03,24,85-97,18.8,22.2,19.0,22.7
449,2009,03,25,78-96,17.3,19.8,16.7,19.2
450,2009,03,26,67-87,18.2,19.0,17.9,18.8
451,2009,03,27,88-96,18.4,21.2,17.7,20.8
452,2009,03,28,89-97,20.4,23.7,19.7,24.4
453,2009,03,29,80-95,18.7,20.7,18.5,21.9
454,2009,03,30,66-89,16.6,21.0,17.3,21.3
455,2009,03,31,68-85,16.6,24.0,17.1,22.6
456,2009,04,01,60-76,18.5,22.7,18.3,21.8
457,2009,04,02,60-83,17.1,19.9,16.2,19.6
458,2009,04,03,69-86,16.7,20.3,15.7,19.6
459,2009,04,04,70-86,20.2,23.3,19.4,24.8
460,2009,04,05,68-91,20.7,27.7,20.8,28.4
461,2009,04,06,68-94,16.2,20.7,16.5,20.9
462,2009,04,07,62-82,16.2,20.2,15.7,20.5
463,2009,04,08,62-84,18.0,24.8,18.1,25.0
464,2009,04,09,44-69,19.3,24.0,19.3,23.6
465,2009,04,10,49-80,19.2,24.5,19.5,23.2
466,2009,04,11,69-86,19.7,24.5,19.3,23.7
467,2009,04,12,75-90,19.9,25.2,20.0,25.9
468,2009,04,13,66-93,20.9,29.7,20.8,28.5
469,2009,04,14,69-91,20.6,29.5,20.4,29.3
470,2009,04,15,67-96,21.8,25.1,21.5,25.2
471,2009,04,16,76-96,21.0,26.3,21.2,27.0
472,2009,04,17,70-90,20.8,26.8,20.1,27.2
473,2009,04,18,76-97,20.9,23.6,21.2,22.4
474,2009,04,19,84-98,21.9,28.1,21.9,26.7
475,2009,04,20,56-95,25.4,31.7,25.4,31.1
476,2009,04,21,51-82,22.1,29.5,21.4,28.9
477,2009,04,22,66-88,20.6,23.4,20.0,23.7
478,2009,04,23,82-91,20.9,23.7,20.2,23.2
