Race_ID,Date,Course,Race_Number,Meeting_Number,Class,Distance,Ranking,Going,Race_Type,Surface,Runners,Prize,Time_1,Time_2,Time_3,Time_4,Sectional_1,Sectional_2,Sectional_3,Sectional_4,EW
34736,7/11/2021,Sha Tin,817,2,Class 4,1400,60-40,GOOD TO FIRM,BIG PROFIT HANDICAP,TURF - A Course,14,"1,000,000",13.51,34.7,57.34,01:21.1,13.51,21.19,22.64,23.74,4
34751,7/11/2021,Sha Tin,818,3,Class 5,1400,40-0,GOOD TO FIRM,MEDIC KINGDOM HANDICAP,TURF - A Course,15,"750,000",13.54,35.15,58.52,01:22.0,13.54,21.61,23.37,23.49,4
34767,7/11/2021,Sha Tin,819,4,Class 4,1200,60-40,GOOD TO FIRM,VICTORY MARVEL HANDICAP,TURF - A Course,15,"1,000,000",23.82,46.16,01:08.7,,23.82,22.34,22.55,,4
34783,7/11/2021,Sha Tin,820,5,Class 4,1200,60-40,GOOD TO FIRM,ENTRAPMENT HANDICAP,TURF - A Course,14,"1,000,000",23.71,45.66,01:08.4,,23.71,21.95,22.77,,4
34798,7/11/2021,Sha Tin,821,6,Class 4,1400,60-40,GOOD TO FIRM,ALL YOU WISH HANDICAP,TURF - A Course,14,"1,000,000",13.45,35.6,58.8,01:21.6,13.45,22.15,23.2,22.82,4
34813,7/11/2021,Sha Tin,822,7,Class 4,2000,60-40,GOOD TO FIRM,SOLAR HEI HEI HANDICAP,TURF - A Course,13,"1,000,000",25.76,49.24,01:13.4,01:37.2,25.76,23.48,24.13,23.82,4
34827,7/11/2021,Sha Tin,823,8,Class 1,1600,115-90,GOOD TO FIRM,THE SHA TIN MILE TROPHY HANDICAP,TURF - A Course,11,"3,000,000",23.95,46.23,01:08.7,01:32.2,23.95,22.28,22.5,23.51,5
34839,7/11/2021,Sha Tin,824,9,Class 3,1200,80-60,GOOD TO FIRM,PINGWU SPARK HANDICAP,TURF - A Course,14,"1,500,000",24.21,46.39,01:08.6,,24.21,22.18,22.16,,4
34854,7/11/2021,Sha Tin,825,10,Class 1,1200,115-90,GOOD TO FIRM,THE HONG KONG RACEHORSE OWNERS ASSOCIATION TROPHY HANDICAP,TURF - A Course,13,"3,000,000",23.04,44.87,01:07.6,,23.04,21.83,22.74,,4
34868,7/11/2021,Sha Tin,826,11,Class 3,1400,80-60,GOOD TO FIRM,CONTENTMENT HANDICAP,TURF - A Course,14,"1,500,000",13.31,34.62,57.58,01:20.9,13.31,21.31,22.96,23.37,4
34604,7/7/2021,Happy Valley,807,1,Class 5,1650,40-0,GOOD,BRIAR HANDICAP,TURF - A Course,12,"750,000",27.52,52.73,01:17.2,01:40.7,27.52,25.21,24.43,23.51,4
34617,7/7/2021,Happy Valley,808,2,Class 5,1650,40-0,GOOD,BRIAR HANDICAP,TURF - A Course,12,"750,000",28.05,52.64,01:16.9,01:40.4,28.05,24.59,24.26,23.47,4
34630,7/7/2021,Happy Valley,809,3,Class 4,1200,60-40,GOOD,BROOM HANDICAP,TURF - A Course,12,"1,000,000",23.62,46.63,01:09.8,,23.62,23.01,23.12,,4
34643,7/7/2021,Happy Valley,810,4,Class 4,1650,60-40,GOOD,GREEN LANE HANDICAP,TURF - A Course,12,"1,000,000",27.64,52.74,01:17.1,01:40.5,27.64,25.1,24.35,23.38,4
34656,7/7/2021,Happy Valley,811,5,Class 4,1000,60-40,GOOD,THE SAUTERNES CUP HANDICAP,TURF - A Course,12,"1,000,000",12.81,33.84,56.99,,12.81,21.03,23.15,,4
34669,7/7/2021,Happy Valley,812,6,Class 4,1200,60-40,GOOD,BROOM HANDICAP,TURF - A Course,12,"1,000,000",23.88,46.03,01:09.8,,23.88,22.15,23.72,,4
34682,7/7/2021,Happy Valley,813,7,Class 3,1200,80-60,GOOD,HAWTHORN HANDICAP,TURF - A Course,12,"1,500,000",23.65,46.02,01:09.5,,23.65,22.37,23.5,,4
34695,7/7/2021,Happy Valley,814,8,Class 3,1200,80-60,GOOD,HAWTHORN HANDICAP,TURF - A Course,12,"1,500,000",23.81,45.88,01:09.5,,23.81,22.07,23.59,,4
34708,7/7/2021,Happy Valley,815,9,Class 3,1650,80-60,GOOD,HOLLY HANDICAP,TURF - A Course,12,"1,500,000",27.25,51.04,01:15.3,01:38.9,27.25,23.79,24.27,23.61,4
34466,7/4/2021,Sha Tin,797,1,Griffin Race,1200,,GOOD TO FIRM,THE PEARCE MEMORIAL CHALLENGE CUP PLATE,TURF - C+3 Course,9,"850,000",23.57,45.83,01:08.5,,23.57,22.26,22.64,,5
34476,7/4/2021,Sha Tin,798,2,Class 5,2200,40-0,GOOD TO FIRM,THE PURVES QUAICH HANDICAP,TURF - C+3 Course,13,"750,000",14.01,37.33,01:02.2,01:26.7,14.01,23.32,24.88,24.46,4
34490,7/4/2021,Sha Tin,799,3,Class 5,1400,40-0,GOOD TO FIRM,THE SWAINE CUP HANDICAP,TURF - C+3 Course,14,"750,000",13.28,34.81,57.87,01:21.6,13.28,21.53,23.06,23.69,4
34505,7/4/2021,Sha Tin,800,4,Class 4,1200,60-40,GOOD,THE WONG CUP HANDICAP,ALL WEATHER TRACK,12,"1,000,000",23.26,45.49,01:09.1,,23.26,22.23,23.6,,4
34518,7/4/2021,Sha Tin,801,5,Class 4,1200,60-40,GOOD,THE LI CUP HANDICAP,ALL WEATHER TRACK,12,"1,000,000",23.7,46.12,01:09.3,,23.7,22.42,23.21,,4
34531,7/4/2021,Sha Tin,802,6,Class 4,1600,60-40,GOOD TO FIRM,THE ARCULLI TROPHY HANDICAP,TURF - C+3 Course,14,"1,000,000",24.62,47.55,01:10.9,01:34.1,24.62,22.93,23.37,23.2,4
34546,7/4/2021,Sha Tin,803,7,Class 4,1400,60-40,GOOD TO FIRM,THE CHAN TROPHY HANDICAP,TURF - C+3 Course,14,"1,000,000",13.67,35.99,59.19,01:21.9,13.67,22.32,23.2,22.66,4
34561,7/4/2021,Sha Tin,804,8,Class 3,1200,85-60,GOOD,THE STEVENSON CUP HANDICAP,ALL WEATHER TRACK,12,"1,500,000",23.07,45.63,01:08.7,,23.07,22.56,23.03,,4
34574,7/4/2021,Sha Tin,805,9,Class 2,1400,90-70,GOOD TO FIRM,THE IP JUG HANDICAP,TURF - C+3 Course,14,"2,200,000",13.35,34.69,57.25,01:20.6,13.35,21.34,22.56,23.32,4
34589,7/4/2021,Sha Tin,806,10,Class 3,1600,80-60,GOOD TO FIRM,THE CHOW SILVER PLATE HANDICAP,TURF - C+3 Course,14,"1,500,000",24.46,47.17,01:10.1,01:33.2,24.46,22.71,22.93,23.09,4
34289,7/1/2021,Sha Tin,787,1,Class 5,1600,40-0,GOOD TO FIRM,RACING GOES ON 1600M HANDICAP,TURF - C Course,14,"750,000",24.98,48.93,01:13.2,01:36.1,24.98,23.95,24.31,22.89,4
34304,7/1/2021,Sha Tin,788,2,Class 5,1200,40-0,GOOD TO FIRM,WORLD-CLASS LEADERSHIP 1200M HANDICAP,TURF - C Course,12,"750,000",24.21,46.61,01:09.4,,24.21,22.4,22.8,,4
34317,7/1/2021,Sha Tin,789,3,Class 4,1200,60-40,GOOD TO FIRM,UNCOMPROMISING INTEGRITY 1200M HANDICAP,TURF - C Course,12,"1,000,000",24.51,46.65,01:09.1,,24.51,22.14,22.45,,4
34330,7/1/2021,Sha Tin,790,4,Class 4,1000,60-40,GOOD TO FIRM,SERVING THE COMMUNITY 1000M HANDICAP,TURF - C Course,14,"1,000,000",13.1,33.32,55.31,,13.1,20.22,21.99,,4
34345,7/1/2021,Sha Tin,791,5,Class 4,1200,60-40,GOOD TO FIRM,CONTINUOUS DEVELOPMENT 1200M HANDICAP,TURF - C Course,12,"1,000,000",23.84,45.81,01:08.8,,23.84,21.97,23.04,,4
34358,7/1/2021,Sha Tin,792,6,Class 4,1800,60-40,GOOD TO FIRM,THE GUANGDONG-HONG KONG CUP HANDICAP,TURF - C Course,14,"1,000,000",13.81,36.26,01:00.6,01:24.7,13.81,22.45,24.35,24.04,4
34373,7/1/2021,Sha Tin,793,7,Class 2,1800,100-80,GOOD TO FIRM,THE HONG KONG REUNIFICATION CUP HANDICAP,TURF - C Course,11,"2,200,000",14.28,37.1,01:01.4,01:25.0,14.28,22.82,24.26,23.68,5
34385,7/1/2021,Sha Tin,794,8,Class 4,1400,60-40,GOOD TO FIRM,RIDING HIGH TOGETHER 1400M HANDICAP,TURF - C Course,14,"1,000,000",13.42,35.6,58.83,01:22.1,13.42,22.18,23.23,23.27,4
34400,7/1/2021,Sha Tin,795,9,Class 3,1200,80-60,GOOD TO FIRM,SPORTSMANSHIP 1200M HANDICAP,TURF - C Course,12,"1,500,000",24.18,46.16,01:08.6,,24.18,21.98,22.48,,4
34413,7/1/2021,Sha Tin,796,10,Class 3,1000,80-60,GOOD TO FIRM,BETTER FUTURE 1000M HANDICAP,TURF - C Course,14,"1,500,000",12.87,32.92,55.43,,12.87,20.05,22.51,,4
34139,6/26/2021,Sha Tin,777,1,Class 5,1650,40-0,WET SLOW,TUNG WAN SHAN HANDICAP,ALL WEATHER TRACK,14,"750,000",27.96,51.49,01:15.7,01:40.2,27.96,23.53,24.23,24.44,4
34154,6/26/2021,Sha Tin,778,2,Class 4,1200,60-40,GOOD TO YIELDING,SAI WAN SHAN HANDICAP,TURF - B Course,14,"1,000,000",24.42,46.81,01:09.9,,24.42,22.39,23.09,,4
34169,6/26/2021,Sha Tin,779,3,Class 5,1400,40-0,GOOD TO YIELDING,SHOUSON HILL HANDICAP,TURF - B Course,14,"750,000",13.59,36.4,01:00.2,01:23.6,13.59,22.81,23.77,23.4,4
34184,6/26/2021,Sha Tin,780,4,Class 4,1650,60-40,WET SLOW,SHEUNG YEUNG SHAN HANDICAP,ALL WEATHER TRACK,14,"1,000,000",28.35,51.59,01:15.5,01:38.5,28.35,23.24,23.9,23.01,4
34199,6/26/2021,Sha Tin,781,5,Class 3,2000,80-60,GOOD TO YIELDING,NEEDLE HILL HANDICAP,TURF - B Course,14,"1,500,000",25.71,49.03,01:14.1,01:38.8,25.71,23.32,25.09,24.63,4
34214,6/26/2021,Sha Tin,782,6,Class 4,1400,60-40,GOOD TO YIELDING,SHEK NGA SHAN HANDICAP,TURF - B Course,14,"1,000,000",13.62,35.66,58.78,01:22.4,13.62,22.04,23.12,23.66,4
34229,6/26/2021,Sha Tin,783,7,Class 3,1650,80-60,WET SLOW,NAM LONG SHAN HANDICAP,ALL WEATHER TRACK,14,"1,500,000",27.22,50.01,01:13.7,01:37.9,27.22,22.79,23.73,24.2,4
34244,6/26/2021,Sha Tin,784,8,Class 3,1400,80-60,GOOD,MOUNT NICHOLSON HANDICAP,TURF - B Course,14,"1,500,000",13.43,35.25,58.74,01:21.7,13.43,21.82,23.49,22.94,4
34259,6/26/2021,Sha Tin,785,9,Class 3,1200,80-60,GOOD,MOUNT CAMERON HANDICAP,TURF - B Course,14,"1,500,000",23.53,45.74,01:08.5,,23.53,22.21,22.8,,4
34274,6/26/2021,Sha Tin,786,10,Class 2,1200,100-80,GOOD,LAI PEK SHAN HANDICAP,TURF - B Course,14,"2,200,000",23.74,45.69,01:08.7,,23.74,21.95,23.05,,4
34037,6/23/2021,Happy Valley,768,1,Class 4,1200,60-40,GOOD,MIDDLE GAP HANDICAP,TURF - C Course,12,"1,000,000",23.88,46.44,01:09.6,,23.88,22.56,23.2,,4
34050,6/23/2021,Happy Valley,769,2,Class 5,1200,40-0,GOOD,STUBBS HANDICAP,TURF - C Course,12,"750,000",23.54,45.96,01:09.9,,23.54,22.42,23.95,,4
34063,6/23/2021,Happy Valley,771,4,Class 2,1650,100-80,GOOD,BOWEN HANDICAP,TURF - C Course,9,"2,200,000",27.61,50.78,01:14.9,01:38.1,27.61,23.17,24.15,23.14,5
34073,6/23/2021,Happy Valley,772,5,Class 4,1200,60-40,GOOD,MIDDLE GAP HANDICAP,TURF - C Course,12,"1,000,000",24.07,47.1,01:09.9,,24.07,23.03,22.82,,4
34086,6/23/2021,Happy Valley,773,6,Class 4,1650,60-40,GOOD,ROBINSON HANDICAP,TURF - C Course,12,"1,000,000",27.19,51.12,01:16.2,01:39.6,27.19,23.93,25.13,23.4,4
34099,6/23/2021,Happy Valley,774,7,Class 3,1200,80-60,GOOD,CAINE HANDICAP,TURF - C Course,12,"1,500,000",23.7,45.88,01:09.2,,23.7,22.18,23.31,,4
34112,6/23/2021,Happy Valley,775,8,Class 3,1650,80-60,GOOD,KENNEDY HANDICAP,TURF - C Course,12,"1,500,000",27.82,51.75,01:15.3,01:39.1,27.82,23.93,23.59,23.71,4
34125,6/23/2021,Happy Valley,776,9,Class 3,1200,80-60,GOOD,CAINE HANDICAP,TURF - C Course,13,"1,500,000",23.39,46.04,01:09.4,,23.39,22.65,23.41,,4
33895,6/20/2021,Sha Tin,758,1,Class 5,1600,40-0,GOOD TO FIRM,TOURMALINE HANDICAP,TURF - A Course,14,"750,000",24.37,47.37,01:11.3,01:34.8,24.37,23,23.96,23.45,4
33910,6/20/2021,Sha Tin,759,2,Class 4,2000,60-40,GOOD TO FIRM,PERIDOT HANDICAP,TURF - A Course,12,"1,000,000",26.97,52.74,01:17.1,01:40.8,26.97,25.77,24.35,23.73,4
33923,6/20/2021,Sha Tin,760,3,Class 4,1000,60-40,GOOD TO FIRM,JASPER HANDICAP,TURF - A Course,14,"1,000,000",13.06,33.73,55.91,,13.06,20.67,22.18,,4
33938,6/20/2021,Sha Tin,761,4,Class 4,1200,60-40,GOOD TO FIRM,ONYX HANDICAP,TURF - A Course,14,"1,000,000",24.13,46.75,01:09.1,,24.13,22.62,22.38,,4
33953,6/20/2021,Sha Tin,762,5,Group Three,1800,,GOOD TO FIRM,THE PREMIER PLATE HANDICAP,TURF - A Course,10,"3,500,000",13.88,36.72,01:00.4,01:23.0,13.88,22.84,23.73,22.59,5
33964,6/20/2021,Sha Tin,763,6,Class 4,1600,60-40,GOOD TO FIRM,OPAL HANDICAP,TURF - A Course,14,"1,000,000",25.02,48.34,01:12.1,01:35.0,25.02,23.32,23.73,22.9,4
33979,6/20/2021,Sha Tin,764,7,Group Three,1400,,GOOD TO FIRM,THE PREMIER CUP HANDICAP,TURF - A Course,11,"3,500,000",13.4,35.52,58.19,01:20.5,13.4,22.12,22.67,22.36,5
33991,6/20/2021,Sha Tin,765,8,Class 3,1200,80-60,GOOD TO FIRM,AMBER HANDICAP,TURF - A Course,14,"1,500,000",23.85,46.55,01:08.7,,23.85,22.7,22.17,,4
34006,6/20/2021,Sha Tin,766,9,Class 2,1400,100-80,GOOD TO FIRM,ALEXANDRITE HANDICAP,TURF - A Course,15,"2,200,000",13.73,35.71,57.97,01:20.8,13.73,21.98,22.26,22.86,4
34022,6/20/2021,Sha Tin,767,10,Class 3,1400,80-60,GOOD TO FIRM,AQUAMARINE HANDICAP,TURF - A Course,14,"1,500,000",13.65,36.27,59.45,01:21.7,13.65,22.62,23.18,22.25,4
33749,6/13/2021,Sha Tin,747,1,Griffin Race,1000,,GOOD,TUNG WAN PLATE,TURF - C+3 Course,8,"850,000",13.18,33.32,55.33,,13.18,20.14,22.01,,5
33758,6/13/2021,Sha Tin,748,2,Class 5,1200,40-0,WET SLOW,TING KAU HANDICAP,ALL WEATHER TRACK,12,"750,000",23.6,45.96,01:10.4,,23.6,22.36,24.4,,4
33771,6/13/2021,Sha Tin,749,3,Class 5,1200,40-0,WET SLOW,TING KAU HANDICAP,ALL WEATHER TRACK,12,"750,000",23.81,46.77,01:11.4,,23.81,22.96,24.61,,4
33784,6/13/2021,Sha Tin,750,4,Class 4,1200,60-40,GOOD TO FIRM,LIDO HANDICAP,TURF - C+3 Course,13,"1,000,000",23.74,46.16,01:08.6,,23.74,22.42,22.43,,4
33798,6/13/2021,Sha Tin,751,5,Class 4,1200,60-40,WET SLOW,PUI O HANDICAP,ALL WEATHER TRACK,12,"1,000,000",23.54,45.86,01:09.4,,23.54,22.32,23.56,,4
33811,6/13/2021,Sha Tin,752,6,Class 4,1400,60-40,GOOD TO FIRM,SILVERSTRAND HANDICAP,TURF - C+3 Course,14,"1,000,000",13.51,34.63,57.48,01:21.2,13.51,21.12,22.85,23.72,4
33826,6/13/2021,Sha Tin,753,7,Class 4,1400,60-40,GOOD TO FIRM,SILVERSTRAND HANDICAP,TURF - C+3 Course,14,"1,000,000",13.62,35.21,58.7,01:21.9,13.62,21.59,23.49,23.22,4
33841,6/13/2021,Sha Tin,754,8,Class 3,1200,80-60,GOOD TO FIRM,HAP MUN BAY HANDICAP,TURF - C+3 Course,12,"1,500,000",23.98,46.54,01:08.6,,23.98,22.56,22.07,,4
33854,6/13/2021,Sha Tin,755,9,Class 3,1200,80-60,WET SLOW,HOI MEI WAN HANDICAP,ALL WEATHER TRACK,12,"1,500,000",23.37,45.74,01:09.8,,23.37,22.37,24.06,,4
33867,6/13/2021,Sha Tin,756,10,Class 2,1200,100-80,WET SLOW,CHEUNG SHA HANDICAP,ALL WEATHER TRACK,12,"2,200,000",22.92,45.48,01:09.5,,22.92,22.56,24.03,,4
33880,6/13/2021,Sha Tin,757,11,Class 3,1600,80-60,GOOD TO FIRM,KIU TSUI HANDICAP,TURF - C+3 Course,14,"1,500,000",24.51,47.32,01:10.3,01:33.7,24.51,22.81,22.98,23.43,4
33631,6/9/2021,Happy Valley,738,1,Class 5,2200,40-0,GOOD,YAN CHAU TONG HANDICAP,TURF - B Course,12,"750,000",14.26,37.8,01:03.2,01:28.1,14.26,23.54,25.41,24.93,4
33644,6/9/2021,Happy Valley,739,2,Class 4,1200,60-40,GOOD TO FIRM,PORT SHELTER HANDICAP,TURF - B Course,12,"1,000,000",23.31,46.02,01:09.3,,23.31,22.71,23.28,,4
33657,6/9/2021,Happy Valley,740,3,Class 4,1200,60-40,GOOD TO FIRM,PORT SHELTER HANDICAP,TURF - B Course,12,"1,000,000",23.84,46.96,01:10.1,,23.84,23.12,23.09,,4
33670,6/9/2021,Happy Valley,741,4,Class 4,1200,60-40,GOOD TO FIRM,PORT SHELTER HANDICAP,TURF - B Course,12,"1,000,000",23.37,46.08,01:09.8,,23.37,22.71,23.68,,4
33683,6/9/2021,Happy Valley,742,5,Class 3,1000,80-60,GOOD,DEEP BAY HANDICAP,TURF - B Course,12,"1,500,000",12.67,34.25,57.2,,12.67,21.58,22.95,,4
33696,6/9/2021,Happy Valley,743,6,Class 4,1650,60-40,GOOD,SILVER MINE BAY HANDICAP,TURF - B Course,12,"1,000,000",28.02,52.28,01:16.3,01:40.7,28.02,24.26,23.99,24.45,4
33709,6/9/2021,Happy Valley,744,7,Class 3,1650,80-60,GOOD,MIRS BAY HANDICAP,TURF - B Course,12,"1,500,000",27.97,52.34,01:17.1,01:41.4,27.97,24.37,24.77,24.29,4
33722,6/9/2021,Happy Valley,745,8,Class 2,1000,105-80,GOOD,CASTLE PEAK BAY HANDICAP,TURF - B Course,12,"2,200,000",12.54,33.69,56.66,,12.54,21.15,22.97,,4
33735,6/9/2021,Happy Valley,746,9,Class 3,1200,85-60,GOOD,KAT O HOI HANDICAP,TURF - B Course,13,"1,500,000",23.56,46.41,01:10.0,,23.56,22.85,23.54,,4
33490,6/6/2021,Sha Tin,728,1,Class 5,1200,40-0,GOOD,PO TIN HANDICAP,TURF - C Course,12,"750,000",24.12,47.21,01:09.7,,24.12,23.09,22.53,,4
33503,6/6/2021,Sha Tin,729,2,Class 4,1000,60-40,GOOD TO FIRM,MEI TIN HANDICAP,TURF - C Course,15,"1,000,000",13.12,33.73,55.44,,13.12,20.61,21.71,,4
33519,6/6/2021,Sha Tin,730,3,Class 3,1000,80-60,GOOD TO FIRM,KWONG TIN HANDICAP,TURF - C Course,9,"1,500,000",13.23,33.34,55.26,,13.23,20.11,21.92,,5
33529,6/6/2021,Sha Tin,731,4,Class 5,1650,40-0,GOOD,YAN TIN HANDICAP,ALL WEATHER TRACK,15,"750,000",27.86,51.57,01:15.4,01:39.1,27.86,23.71,23.85,23.69,4
33545,6/6/2021,Sha Tin,732,5,Class 4,1400,60-40,GOOD TO FIRM,ON YAM HANDICAP,TURF - C Course,14,"1,000,000",13.49,35.3,58.98,01:22.0,13.49,21.81,23.68,23.07,4
33560,6/6/2021,Sha Tin,733,6,Class 4,1650,60-40,GOOD,PING TIN HANDICAP,ALL WEATHER TRACK,14,"1,000,000",27.14,50.07,01:14.0,01:38.1,27.14,22.93,23.96,24.05,4
33575,6/6/2021,Sha Tin,734,7,Class 4,1200,60-40,GOOD TO FIRM,ON TING HANDICAP,TURF - C Course,12,"1,000,000",24.24,46.75,01:08.7,,24.24,22.51,22,,4
33588,6/6/2021,Sha Tin,735,8,Class 3,1200,80-60,GOOD TO FIRM,LAI ON HANDICAP,TURF - C Course,12,"1,500,000",23.63,46.31,01:08.8,,23.63,22.68,22.5,,4
33601,6/6/2021,Sha Tin,736,9,Class 3,1400,80-60,GOOD TO FIRM,LEE ON HANDICAP,TURF - C Course,14,"1,500,000",13.54,35.21,58.11,01:21.2,13.54,21.67,22.9,23.11,4
33616,6/6/2021,Sha Tin,737,10,Class 2,1600,100-80,GOOD TO FIRM,CHUNG ON HANDICAP,TURF - C Course,14,"2,200,000",24.65,48.32,01:11.5,01:33.9,24.65,23.67,23.2,22.34,4
33374,6/2/2021,Happy Valley,719,1,Class 5,1000,40-0,GOOD,WING LOK HANDICAP,TURF - A Course,12,"750,000",12.79,34.04,57.11,,12.79,21.25,23.07,,4
33387,6/2/2021,Happy Valley,720,2,Class 4,1000,60-40,GOOD,JERVOIS HANDICAP,TURF - A Course,12,"1,000,000",12.53,33.56,56.97,,12.53,21.03,23.41,,4
33400,6/2/2021,Happy Valley,721,3,Class 4,1200,60-40,GOOD,MORRISON HANDICAP,TURF - A Course,12,"1,000,000",23.46,46.1,01:09.9,,23.46,22.64,23.82,,4
33413,6/2/2021,Happy Valley,722,4,Class 4,1650,60-40,GOOD,RUMSEY HANDICAP,TURF - A Course,12,"1,000,000",28.03,52.04,01:16.2,01:40.3,28.03,24.01,24.13,24.1,4
33426,6/2/2021,Happy Valley,723,5,Class 4,1200,60-40,GOOD,MORRISON HANDICAP,TURF - A Course,12,"1,000,000",23.32,45.71,01:10.1,,23.32,22.39,24.37,,4
33439,6/2/2021,Happy Valley,724,6,Class 4,1800,60-40,GOOD,WELLINGTON HANDICAP,TURF - A Course,12,"1,000,000",13.65,35.71,59.59,01:25.0,13.65,22.06,23.88,25.44,4
33452,6/2/2021,Happy Valley,725,7,Class 3,1200,80-60,GOOD,CLEVERLY HANDICAP,TURF - A Course,11,"1,500,000",23.2,45.84,01:09.7,,23.2,22.64,23.83,,5
33464,6/2/2021,Happy Valley,726,8,Class 3,1200,80-60,GOOD,CLEVERLY HANDICAP,TURF - A Course,12,"1,500,000",23.31,45.9,01:09.6,,23.31,22.59,23.66,,4
33477,6/2/2021,Happy Valley,727,9,Class 3,1650,80-60,GOOD,HILLIER HANDICAP,TURF - A Course,12,"1,500,000",28.2,51.71,01:16.3,01:40.1,28.2,23.51,24.6,23.81,4
33232,5/30/2021,Sha Tin,709,1,Class 5,1800,40-0,GOOD TO FIRM,TSZ WAN SHAN HANDICAP,TURF - B Course,14,"750,000",13.73,35.99,01:00.6,01:25.2,13.73,22.26,24.6,24.57,4
33247,5/30/2021,Sha Tin,710,2,Class 4,1400,60-40,GOOD TO FIRM,TATE'S CAIRN HANDICAP,TURF - B Course,14,"1,000,000",13.54,35.51,58.66,01:21.4,13.54,21.97,23.15,22.74,4
33262,5/30/2021,Sha Tin,711,3,Group Three,1600,,GOOD TO FIRM,THE LION ROCK TROPHY HANDICAP,TURF - B Course,7,"3,500,000",25.15,48.55,01:11.5,01:33.5,25.15,23.4,22.9,22,4
33270,5/30/2021,Sha Tin,712,4,Class 4,1400,60-40,GOOD TO FIRM,TATE'S CAIRN HANDICAP,TURF - B Course,14,"1,000,000",13.74,35.92,59.17,01:21.9,13.74,22.18,23.25,22.72,4
33285,5/30/2021,Sha Tin,713,5,Class 4,1200,60-40,GOOD TO FIRM,SHA TIN HEIGHTS HANDICAP,TURF - B Course,14,"1,000,000",23.81,45.82,01:08.9,,23.81,22.01,23.06,,4
33300,5/30/2021,Sha Tin,714,6,Class 3,2000,85-60,GOOD TO FIRM,PIPER'S HILL HANDICAP,TURF - B Course,14,"1,500,000",25.48,50.47,01:14.3,01:38.1,25.48,24.99,23.87,23.71,4
33315,5/30/2021,Sha Tin,715,7,Class 3,1200,80-60,GOOD TO FIRM,EAGLE'S NEST HANDICAP,TURF - B Course,13,"1,500,000",24.15,46.18,01:08.7,,24.15,22.03,22.52,,4
33329,5/30/2021,Sha Tin,716,8,Class 3,1400,80-60,GOOD TO FIRM,HUNG MUI KUK HANDICAP,TURF - B Course,14,"1,500,000",13.24,35.14,58.04,01:21.4,13.24,21.9,22.9,23.32,4
33344,5/30/2021,Sha Tin,717,9,Class 3,1200,80-60,GOOD TO FIRM,EAGLE'S NEST HANDICAP,TURF - B Course,14,"1,500,000",23.23,45.31,01:08.3,,23.23,22.08,22.98,,4
33359,5/30/2021,Sha Tin,718,10,Class 2,1200,100-80,GOOD TO FIRM,AMAH ROCK HANDICAP,TURF - B Course,14,"2,200,000",23.37,45.21,01:07.9,,23.37,21.84,22.71,,4
33117,5/26/2021,Happy Valley,700,1,Class 5,1200,40-0,GOOD TO FIRM,WHITFIELD HANDICAP,TURF - C Course,13,"750,000",23.79,46.55,01:09.8,,23.79,22.76,23.23,,4
